,title,rating,available,img
0,The Emoji Story (Picture Character), 91%,Available Dec 22,data/img/poster-1.jpg
1,Yellow Rose, 86%,Available Jan 5,data/img/poster-2.jpg
2,Soul, 96%,Available Dec 25,data/img/poster-3.jpg
3,Sing Me A Song, 88%,Available Jan 1,data/img/poster-4.jpg
4,Pieces Of A Woman, 77%,Available Jan 7,data/img/poster-5.jpg
5,I'M Your Woman, 81%,Available Dec 11,data/img/poster-6.jpg
6,Lupin III: The First, 94%,Available Dec 15,data/img/poster-7.jpg
7,Sylvie'S Love, 92%,Available Dec 23,data/img/poster-8.jpg
8,Beasts Clawing At Straws, 96%,Available Dec 15,data/img/poster-9.jpg
9,Shadow In The Cloud, 76%,Available Jan 1,data/img/poster-10.jpg
10,I Am Lisa, 91%,Available Jan 5,data/img/poster-11.jpg
11,Shortcut, 58%,Available Dec 22,data/img/poster-12.jpg
12,The Midnight Sky, 51%,Available Dec 23,data/img/poster-13.jpg
13,Ma Rainey'S Black Bottom, 98%,Available Dec 18,data/img/poster-14.jpg
14,Archenemy, 71%,Available Dec 11,data/img/poster-15.jpg
15,Skylines, 52%,Available Dec 18,data/img/poster-16.jpg
16,Hunter Hunter, 93%,Available Dec 18,data/img/poster-17.jpg
17,The Prom, 57%,Available Dec 11,data/img/poster-18.jpg
18,Wild Mountain Thyme, 27%,Available Dec 11,data/img/poster-19.jpg
19,The Stand In, 29%,Available Dec 11,data/img/poster-20.jpg
20,Sister Of The Groom, 47%,Available Dec 18,data/img/poster-21.jpg
21,Max Cloud, 50%,Available Dec 18,data/img/poster-22.jpg
22,Breach, 20%,Available Dec 18,data/img/poster-23.jpg
23,Ip Man: Kung Fu Master, 44%,Available Dec 11,data/img/poster-24.jpg
24,We Can Be Heroes, 71%,Available Jan 1,data/img/poster-25.jpg
25,Redemption Day, 6%,Available Jan 12,data/img/poster-26.jpg
26,Yearly Departed, 80%,Available Dec 30,data/img/poster-27.jpg
27,Modern Persuasion, 50%,Available Dec 18,data/img/poster-28.jpg
28,The One You Feed, 40%,Available Dec 29,data/img/poster-29.jpg
29,Stars Fell On Alabama, 56%,Available Jan 8,data/img/poster-30.jpg
30,"If Not Now, When?", 43%,Available Jan 8,data/img/poster-31.jpg
31,"Ariana Grande: Excuse Me, I Love You", 50%,Available Dec 21,data/img/poster-32.jpg
32,Princess Of The Row, 88%,Available Nov 27,data/img/poster-33.jpg
33,Hearts And Bones, 81%,Available Nov 20,data/img/poster-34.jpg
34,Collective (Colectiv), 99%,Available Nov 20,data/img/poster-35.jpg
35,The Giant, 50%,Available Nov 13,data/img/poster-36.jpg
36,Iron Mask, 21%,Available Nov 20,data/img/poster-37.jpg
37,18 To Party, 57%,Available Dec 1,data/img/poster-38.jpg
38,The Nest, 88%,Available Nov 17,data/img/poster-39.jpg
39,Beast Mode, 57%,Available Dec 1,data/img/poster-40.jpg
40,Train To Busan Presents: Peninsula, 53%,Available Nov 24,data/img/poster-41.jpg
41,Lie Exposed, 0%,Available Nov 20,data/img/poster-42.jpg
42,The Donut King, 97%,Available Nov 20,data/img/poster-43.jpg
43,Stardust, 17%,Available Nov 25,data/img/poster-44.jpg
44,Survival Skills, 85%,Available Dec 4,data/img/poster-45.jpg
45,The Walrus And The Whistleblower, 40%,Available Nov 24,data/img/poster-46.jpg
46,Ammonite, 67%,Available Dec 4,data/img/poster-47.jpg
47,Run, 90%,Available Nov 20,data/img/poster-48.jpg
48,A Chef'S Voyage, 67%,Available Nov 24,data/img/poster-49.jpg
49,Chick Fight, 36%,Available Nov 13,data/img/poster-50.jpg
50,Echo Boomers, 38%,Available Nov 13,data/img/poster-51.jpg
51,Embattled, 68%,Available Nov 20,data/img/poster-52.jpg
52,Team Marco, 63%,Available Nov 20,data/img/poster-53.jpg
53,Fatman, 46%,Available Nov 24,data/img/poster-54.jpg
54,Jiu Jitsu, 30%,Available Nov 20,data/img/poster-55.jpg
55,"Love, Weddings & Other Disasters", 4%,Available Dec 4,data/img/poster-56.jpg
56,What Lies Below, 50%,Available Dec 4,data/img/poster-57.jpg
57,The Orange Years: The Nickelodeon Story, 86%,Available Nov 17,data/img/poster-58.jpg
58,Dear Santa, 92%,Available Dec 4,data/img/poster-59.jpg
59,I Hate New Year'S, 60%,Available Dec 4,data/img/poster-60.jpg
60,King Of Knives, 75%,Available Dec 1,data/img/poster-61.jpg
61,Elyse, 50%,Available Dec 4,data/img/poster-62.jpg
62,The Mystery Of The Pink Flamingo, 100%,Available Dec 1,data/img/poster-63.jpg
