,title,rating,available,img
0,Promising Young Woman, 91%,Available Jan 15,data/img_basic/poster-1.jpg
1,Yellow Rose, 87%,Available Jan 5,data/img_basic/poster-2.jpg
2,American Skin, 29%,Available Jan 15,data/img_basic/poster-3.jpg
3,Sing Me A Song, 89%,Available Jan 1,data/img_basic/poster-4.jpg
4,The Changin' Times Of Ike White, 100%,Available Jan 26,data/img_basic/poster-5.jpg
5,Born To Be, 100%,Available Jan 19,data/img_basic/poster-6.jpg
6,Savage, 74%,Available Jan 29,data/img_basic/poster-7.jpg
7,The Delivered (Fanny Lye Deliver'D), 93%,Available Jan 15,data/img_basic/poster-8.jpg
8,Pieces Of A Woman, 76%,Available Jan 7,data/img_basic/poster-9.jpg
9,Assassins, 97%,Available Jan 15,data/img_basic/poster-10.jpg
10,Love Sarah, 56%,Available Jan 15,data/img_basic/poster-11.jpg
11,One Night In Miami, 98%,Available Jan 15,data/img_basic/poster-12.jpg
12,Notturno, 80%,Available Jan 29,data/img_basic/poster-13.jpg
13,MLK/FBI, 99%,Available Jan 15,data/img_basic/poster-14.jpg
14,Shadow In The Cloud, 77%,Available Jan 1,data/img_basic/poster-15.jpg
15,Ten Minutes To Midnight, 82%,Available Jan 19,data/img_basic/poster-16.jpg
16,I Am Lisa, 91%,Available Jan 5,data/img_basic/poster-17.jpg
17,PG: Psycho Goreman, 90%,Available Jan 22,data/img_basic/poster-18.jpg
18,"Baby, Done", 93%,Available Jan 21,data/img_basic/poster-19.jpg
19,We Can Be Heroes, 73%,Available Jan 1,data/img_basic/poster-20.jpg
20,Don'T Tell A Soul, 69%,Available Jan 15,data/img_basic/poster-21.jpg
21,Redemption Day, 15%,Available Jan 12,data/img_basic/poster-22.jpg
22,Yearly Departed, 80%,Available Dec 30,data/img_basic/poster-23.jpg
23,The One You Feed, 33%,Available Dec 29,data/img_basic/poster-24.jpg
24,"Stallone: Frank, That Is", 50%,Available Jan 19,data/img_basic/poster-25.jpg
25,Stars Fell On Alabama, 64%,Available Jan 8,data/img_basic/poster-26.jpg
26,Gun And A Hotel Bible, 60%,Available Jan 5,data/img_basic/poster-27.jpg
27,"If Not Now, When?", 53%,Available Jan 8,data/img_basic/poster-28.jpg
28,Caged, 40%,Available Jan 26,data/img_basic/poster-29.jpg
29,Finding 'Ohana, 81%,Available Jan 29,data/img_basic/poster-30.jpg
30,Locked Down, 44%,Available Jan 14,data/img_basic/poster-31.jpg
31,The Dig, 87%,Available Jan 29,data/img_basic/poster-32.jpg
