,title,rating,available,img
0,Rumble, 38%,Available Dec 15,data/img_basic/poster-1.jpg
1,Mosley, 60%,Available Dec 10,data/img_basic/poster-2.jpg
2,Benedetta, 85%,Available Dec 21,data/img_basic/poster-3.jpg
3,Last Words, 33%,Available Dec 17,data/img_basic/poster-4.jpg
4,Saint-Narcisse, 100%,Available Dec 14,data/img_basic/poster-5.jpg
5,Try Harder!, 97%,Available Dec 24,data/img_basic/poster-6.jpg
6,Back To The Outback, 88%,Available Dec 10,data/img_basic/poster-7.jpg
7,The Scary Of Sixty-First, 56%,Available Dec 24,data/img_basic/poster-8.jpg
8,Sensation, 17%,Available Dec 31,data/img_basic/poster-9.jpg
9,Red Snow, 73%,Available Dec 28,data/img_basic/poster-10.jpg
10,The Novice, 95%,Available Dec 17,data/img_basic/poster-11.jpg
11,Even Mice Belong In Heaven, 100%,Available Dec 10,data/img_basic/poster-12.jpg
12,The Lost Daughter, 95%,Available Dec 31,data/img_basic/poster-13.jpg
13,The Hand Of God (È Stata La Mano Di Dio), 82%,Available Dec 15,data/img_basic/poster-14.jpg
14,Encounter, 57%,Available Dec 10,data/img_basic/poster-15.jpg
15,Don'T Look Up, 55%,Available Dec 24,data/img_basic/poster-16.jpg
16,The United States Of Insanity, 100%,Available Dec 10,data/img_basic/poster-17.jpg
17,The Unforgivable, 37%,Available Dec 10,data/img_basic/poster-18.jpg
18,Being The Ricardos, 69%,Available Dec 21,data/img_basic/poster-19.jpg
19,The Hating Game, 71%,Available Dec 10,data/img_basic/poster-20.jpg
20,Portal Runner, 100%,Available Dec 10,data/img_basic/poster-21.jpg
21,Swan Song, 79%,Available Dec 17,data/img_basic/poster-22.jpg
22,Mother/Android, 31%,Available Dec 17,data/img_basic/poster-23.jpg
23,Project Space 13, 80%,Available Dec 10,data/img_basic/poster-24.jpg
24,Joy Womack: The White Swan, 100%,Available Dec 10,data/img_basic/poster-25.jpg
25,The Last Son, 25%,Available Dec 10,data/img_basic/poster-26.jpg
26,Boxing Day, 81%,Available Dec 17,data/img_basic/poster-27.jpg
27,Margrete - Queen Of The North, 90%,Available Dec 17,data/img_basic/poster-28.jpg
28,Two, 33%,Available Dec 10,data/img_basic/poster-29.jpg
29,Minnal Murali, 60%,Available Dec 24,data/img_basic/poster-30.jpg
30,Harry Potter 20th Anniversary: Return To Hogwarts, 95%,Available Jan 1,data/img_basic/poster-31.jpg
31,Beanie Mania, 100%,Available Dec 23,data/img_basic/poster-32.jpg
32,Clifford The Big Red Dog, 57%,Available Nov 10,data/img_basic/poster-33.jpg
33,Bugs, 88%,Available Nov 16,data/img_basic/poster-34.jpg
34,They Say Nothing Stays The Same (Aru Sendo No Hanashi), 100%,Available Nov 12,data/img_basic/poster-35.jpg
35,Climate Of The Hunter, 84%,Available Nov 23,data/img_basic/poster-36.jpg
36,Broken Law, 100%,Available Nov 16,data/img_basic/poster-37.jpg
37,Violet, 82%,Available Nov 9,data/img_basic/poster-38.jpg
38,Freeland, 100%,Available Nov 19,data/img_basic/poster-39.jpg
39,Gustav Stickley: American Craftsman, 71%,Available Nov 15,data/img_basic/poster-40.jpg
40,She Paradise, 88%,Available Nov 19,data/img_basic/poster-41.jpg
41,A Gift From Bob, 79%,Available Nov 9,data/img_basic/poster-42.jpg
42,Karen Dalton: In My Own Time, 100%,Available Nov 16,data/img_basic/poster-43.jpg
43,Night Raiders, 84%,Available Nov 12,data/img_basic/poster-44.jpg
44,Captains Of Za'Atari, 94%,Available Nov 19,data/img_basic/poster-45.jpg
45,Clerk, 80%,Available Nov 23,data/img_basic/poster-46.jpg
46,The Feast, 81%,Available Nov 19,data/img_basic/poster-47.jpg
47,Brian Wilson: Long Promised Road, 94%,Available Nov 19,data/img_basic/poster-48.jpg
48,13 Minutes, 24%,Available Nov 19,data/img_basic/poster-49.jpg
49,The Drummer, 80%,Available Nov 9,data/img_basic/poster-50.jpg
50,Kurt Vonnegut: Unstuck In Time, 89%,Available Nov 19,data/img_basic/poster-51.jpg
51,Zeros And Ones, 63%,Available Nov 19,data/img_basic/poster-52.jpg
52,Boiling Point, 98%,Available Nov 23,data/img_basic/poster-53.jpg
53,Soulmates, 17%,Available Nov 12,data/img_basic/poster-54.jpg
54,Dangerous, 26%,Available Nov 5,data/img_basic/poster-55.jpg
55,Motherly, 86%,Available Nov 16,data/img_basic/poster-56.jpg
56,One Shot, 67%,Available Nov 5,data/img_basic/poster-57.jpg
57,The Last Days Of Capitalism, 100%,Available Nov 12,data/img_basic/poster-58.jpg
58,Apex, 0%,Available Nov 12,data/img_basic/poster-59.jpg
59,See You Next Christmas, 80%,Available Nov 9,data/img_basic/poster-60.jpg
60,Alpha Rift, 77%,Available Nov 19,data/img_basic/poster-61.jpg
61,Two Yellow Lines, 100%,Available Nov 9,data/img_basic/poster-62.jpg
62,Repeat, 80%,Available Nov 19,data/img_basic/poster-63.jpg
63,That Cold Dead Look In Your Eyes, 75%,Available Nov 9,data/img_basic/poster-64.jpg
64,Dune, 83%,Available Oct 22,data/img_basic/poster-65.jpg
65,The Capote Tapes, 93%,Available Oct 26,data/img_basic/poster-66.jpg
66,De Gaulle, 40%,Available Oct 22,data/img_basic/poster-67.jpg
67,Blizzard Of Souls (The Rifleman) (Dveselu Putenis), 75%,Available Oct 19,data/img_basic/poster-68.jpg
68,Beans, 90%,Available Nov 5,data/img_basic/poster-69.jpg
69,Keyboard Fantasies, 100%,Available Oct 29,data/img_basic/poster-70.jpg
70,The Estate, 33%,Available Oct 22,data/img_basic/poster-71.jpg
71,The End Of The Storm, 71%,Available Nov 2,data/img_basic/poster-72.jpg
72,Knocking, 80%,Available Oct 19,data/img_basic/poster-73.jpg
73,Bergman Island, 87%,Available Oct 22,data/img_basic/poster-74.jpg
74,Son Of Monarchs, 92%,Available Nov 2,data/img_basic/poster-75.jpg
75,At The Ready, 88%,Available Oct 22,data/img_basic/poster-76.jpg
76,Broadcast Signal Intrusion, 72%,Available Oct 22,data/img_basic/poster-77.jpg
77,The Spine Of Night, 76%,Available Oct 29,data/img_basic/poster-78.jpg
78,The Beta Test, 93%,Available Nov 5,data/img_basic/poster-79.jpg
79,Tango Shalom, 71%,Available Oct 29,data/img_basic/poster-80.jpg
80,After We Fell, 0%,Available Oct 19,data/img_basic/poster-81.jpg
81,Finding Kendrick Johnson, 100%,Available Oct 29,data/img_basic/poster-82.jpg
82,Snakehead, 68%,Available Oct 29,data/img_basic/poster-83.jpg
83,Mothers Of The Revolution, 100%,Available Oct 19,data/img_basic/poster-84.jpg
84,Joy Ride, 100%,Available Oct 29,data/img_basic/poster-85.jpg
85,Warning, 30%,Available Oct 22,data/img_basic/poster-86.jpg
86,Runt, 67%,Available Oct 19,data/img_basic/poster-87.jpg
87,The Village Detective: A Song Cycle, 92%,Available Oct 20,data/img_basic/poster-88.jpg
88,Night At The Eagle Inn, 82%,Available Nov 2,data/img_basic/poster-89.jpg
89,Outlier, 82%,Available Nov 2,data/img_basic/poster-90.jpg
90,The Deep House, 73%,Available Nov 5,data/img_basic/poster-91.jpg
91,Isolation, 67%,Available Nov 2,data/img_basic/poster-92.jpg
92,Bigfoot Famous, 67%,Available Nov 2,data/img_basic/poster-93.jpg
93,Alice Is Still Dead, 100%,Available Nov 5,data/img_basic/poster-94.jpg
94,Needle In A Timestack, 35%,Available Oct 15,data/img_basic/poster-95.jpg
95,Halloween Kills, 41%,Available Oct 15,data/img_basic/poster-96.jpg
96,"Held For Ransom (Ser Du Månen, Daniel)", 100%,Available Oct 15,data/img_basic/poster-97.jpg
97,The Many Saints Of Newark, 71%,Available Oct 1,data/img_basic/poster-98.jpg
98,In Full Bloom, 88%,Available Oct 15,data/img_basic/poster-99.jpg
99,Red Heaven, 100%,Available Oct 19,data/img_basic/poster-100.jpg
100,The Old Ways, 95%,Available Oct 12,data/img_basic/poster-101.jpg
101,The Addams Family 2, 30%,Available Oct 1,data/img_basic/poster-102.jpg
102,Sophie Jones, 100%,Available Oct 12,data/img_basic/poster-103.jpg
103,Mayday, 49%,Available Oct 1,data/img_basic/poster-104.jpg
104,Coming Home In The Dark, 92%,Available Oct 1,data/img_basic/poster-105.jpg
105,The Blazing World, 57%,Available Oct 15,data/img_basic/poster-106.jpg
106,I'M Your Man, 96%,Available Oct 12,data/img_basic/poster-107.jpg
107,Witch Hunt, 62%,Available Oct 1,data/img_basic/poster-108.jpg
108,Stop And Go (Recovery), 76%,Available Oct 1,data/img_basic/poster-109.jpg
109,Not Going Quietly, 100%,Available Oct 5,data/img_basic/poster-110.jpg
110,The Gig Is Up, 100%,Available Oct 8,data/img_basic/poster-111.jpg
111,American Insurrection (The Volunteers), 67%,Available Oct 8,data/img_basic/poster-112.jpg
112,Live At Mister Kelly'S, 100%,Available Oct 12,data/img_basic/poster-113.jpg
113,Demigod, 64%,Available Oct 15,data/img_basic/poster-114.jpg
114,American Night, 10%,Available Oct 1,data/img_basic/poster-115.jpg
115,Survive The Game, 17%,Available Oct 8,data/img_basic/poster-116.jpg
116,South Of Heaven, 44%,Available Oct 8,data/img_basic/poster-117.jpg
117,Pharma Bro, 75%,Available Oct 5,data/img_basic/poster-118.jpg
118,Hell Or High Seas, 100%,Available Oct 12,data/img_basic/poster-119.jpg
119,Implanted, 70%,Available Oct 1,data/img_basic/poster-120.jpg
120,Vengeance Is Mine, 60%,Available Oct 8,data/img_basic/poster-121.jpg
121,The Cleaner, 83%,Available Oct 12,data/img_basic/poster-122.jpg
122,PTSD: The Walking Wounded, 100%,Available Oct 1,data/img_basic/poster-123.jpg
123,Grave Intentions, 67%,Available Oct 15,data/img_basic/poster-124.jpg
124,Worth, 81%,Available Sep 3,data/img_basic/poster-125.jpg
125,The Nowhere Inn, 68%,Available Sep 17,data/img_basic/poster-126.jpg
126,Swimming Out Till The Sea Turns Blue, 76%,Available Sep 30,data/img_basic/poster-127.jpg
127,Fully Realized Humans, 83%,Available Sep 28,data/img_basic/poster-128.jpg
128,Lone Wolf, 40%,Available Sep 24,data/img_basic/poster-129.jpg
129,The Killing Of Kenneth Chamberlain, 97%,Available Sep 17,data/img_basic/poster-130.jpg
130,This Is The Year, 71%,Available Sep 24,data/img_basic/poster-131.jpg
131,Through The Glass Darkly, 71%,Available Sep 24,data/img_basic/poster-132.jpg
132,The Wonderful: Stories From The Space Station, 80%,Available Sep 13,data/img_basic/poster-133.jpg
133,The Big Scary 'S' Word, 87%,Available Sep 3,data/img_basic/poster-134.jpg
134,Cinderella, 43%,Available Sep 3,data/img_basic/poster-135.jpg
135,Prisoners Of The Ghostland, 62%,Available Sep 17,data/img_basic/poster-136.jpg
136,The Auschwitz Report, 100%,Available Sep 24,data/img_basic/poster-137.jpg
137,Wild Indian, 91%,Available Sep 3,data/img_basic/poster-138.jpg
138,Best Sellers, 53%,Available Sep 17,data/img_basic/poster-139.jpg
139,On These Grounds (Spring Valley), 88%,Available Sep 24,data/img_basic/poster-140.jpg
140,Seance, 48%,Available Sep 29,data/img_basic/poster-141.jpg
141,East Of The Mountains, 100%,Available Sep 24,data/img_basic/poster-142.jpg
142,Last Night In Rozzie, 71%,Available Sep 17,data/img_basic/poster-143.jpg
143,All The Streets Are Silent: The Convergence Of Hip Hop And Skateboarding (1987-1997), 89%,Available Sep 7,data/img_basic/poster-144.jpg
144,Bitchin': The Sound And Fury Of Rick James, 100%,Available Sep 3,data/img_basic/poster-145.jpg
145,A Dim Valley, 60%,Available Sep 28,data/img_basic/poster-146.jpg
146,Dating & New York, 41%,Available Sep 10,data/img_basic/poster-147.jpg
147,Lady Of The Manor, 31%,Available Sep 17,data/img_basic/poster-148.jpg
148,Collection, 17%,Available Sep 17,data/img_basic/poster-149.jpg
149,The Influencer, 67%,Available Sep 14,data/img_basic/poster-150.jpg
150,Bad Candy, 50%,Available Sep 14,data/img_basic/poster-151.jpg
